actual_background,actual_background_cells,actual_background_fraction,actual_background_mean_energy,actual_boundary,actual_boundary_cells,actual_boundary_fraction,actual_boundary_mean_energy,actual_core,actual_core_cells,actual_core_fraction,actual_core_mean_energy,actual_total,batch,level,localization_background,localization_background_cells,localization_background_fraction,localization_background_mean_energy,localization_boundary,localization_boundary_cells,localization_boundary_fraction,localization_boundary_mean_energy,localization_core,localization_core_cells,localization_core_fraction,localization_core_mean_energy,localization_total,pure_background,pure_background_cells,pure_background_fraction,pure_background_mean_energy,pure_boundary,pure_boundary_cells,pure_boundary_fraction,pure_boundary_mean_energy,pure_core,pure_core_cells,pure_core_fraction,pure_core_mean_energy,pure_total
0.0053454049048013985,4800,0.881588731282944,1.1136260218336247e-06,0.0007179721724241972,1600,0.11841126871705593,4.487326077651232e-07,0.0,0,0.0,0.0,0.006063377077225596,5,0,0.003980916575528681,4800,0.8325511507070928,8.293576199018086e-07,0.000800671405158937,1600,0.1674488492929071,5.004196282243356e-07,0.0,0,0.0,0.0,0.004781587980687618,0.0024641860800329596,4800,0.8678050493939007,5.133721000068666e-07,0.00037537573371082544,1600,0.13219495060609932,2.346098335692659e-07,0.0,0,0.0,0.0,0.002839561813743785
0.005578361269726884,1200,0.5794472557522423,4.6486343914390695e-06,0.0040486776269972324,400,0.4205527442477577,1.0121694067493081e-05,0.0,0,0.0,0.0,0.009627038896724116,5,1,0.022018320858478546,1200,0.6742423754146997,1.834860071539879e-05,0.010638067498803139,400,0.3257576245853003,2.6595168747007848e-05,0.0,0,0.0,0.0,0.032656388357281685,0.0027007765129383188,1200,0.5363966677863686,2.2506470941152656e-06,0.0023342594504356384,400,0.4636033322136314,5.835648626089096e-06,0.0,0,0.0,0.0,0.005035035963373957
0.0026495546335354447,4800,0.4846957682597428,5.519905486532176e-07,0.0028168736025691032,1600,0.5153042317402572,1.7605460016056896e-06,0.0,0,0.0,0.0,0.005466428236104548,6,0,0.002875234727980569,4800,0.35508856872943156,5.990072349959519e-07,0.005221997853368521,1600,0.6449114312705684,3.2637486583553255e-06,0.0,0,0.0,0.0,0.00809723258134909,0.0009263378306059167,4800,0.4832906352570749,1.929870480428993e-07,0.000990392523817718,1600,0.5167093647429252,6.189953273860738e-07,0.0,0,0.0,0.0,0.0019167303544236347
0.00186387867142912,1200,0.46430473209651596,1.5532322261909333e-06,0.002150464802980423,400,0.535695267903484,5.376162007451057e-06,0.0,0,0.0,0.0,0.004014343474409543,6,1,0.021706149447709322,1200,0.21577759025417964,1.8088457873091103e-05,0.07888886332511902,400,0.7842224097458204,0.00019722215831279754,0.0,0,0.0,0.0,0.10059501277282834,0.0008921698099584319,1200,0.5384154177758962,7.434748416320265e-07,0.0007648589089512825,400,0.4615845822241038,1.9121472723782064e-06,0.0,0,0.0,0.0,0.0016570287189097144
0.002319282910320908,4800,0.8845776173294816,4.831839396501891e-07,0.0003026271006092429,1600,0.1154223826705184,1.8914193788077683e-07,0.0,0,0.0,0.0,0.0026219100109301507,7,0,0.003855769755318761,4800,0.9273754344157309,8.032853656914085e-07,0.00030195279396139085,1600,0.0726245655842691,1.887204962258693e-07,0.0,0,0.0,0.0,0.004157722549280152,0.001070512575097382,4800,0.8391425621041382,2.2302345314528794e-07,0.00020520936232060194,1600,0.16085743789586188,1.282558514503762e-07,0.0,0,0.0,0.0,0.001275721937417984
0.003505122076603584,1200,0.6201970565127278,2.92093506383632e-06,0.0021465043537318707,400,0.3798029434872722,5.366260884329677e-06,0.0,0,0.0,0.0,0.005651626430335455,7,1,0.051520274952054024,1200,0.9544760872437053,4.293356246004502e-05,0.002457269001752138,400,0.045523912756294777,6.143172504380345e-06,0.0,0,0.0,0.0,0.05397754395380616,0.0019218195593566634,1200,0.6010371787029188,1.601516299463886e-06,0.0012756857322528958,400,0.3989628212970811,3.1892143306322398e-06,0.0,0,0.0,0.0,0.003197505291609559
0.005141048721270636,6400,1.0,8.032888626985368e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005141048721270636,8,0,0.004250207741279155,6400,1.0,6.64094959574868e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.004250207741279155,0.0016717313701519743,6400,1.0,2.61208026586246e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0016717313701519743
0.0019362607272341847,1600,1.0,1.2101629545213655e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0019362607272341847,8,1,0.05368715804070234,1600,1.0,3.355447377543896e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.05368715804070234,0.0005722342903027311,1600,1.0,3.576464314392069e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0005722342903027311
0.004416244977619499,6400,1.0,6.900382777530467e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.004416244977619499,9,0,0.005527197266928852,6400,1.0,8.636245729576331e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005527197266928852,0.0017885714187286794,6400,1.0,2.7946428417635614e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0017885714187286794
0.002045927853032481,1600,1.0,1.2787049081453006e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.002045927853032481,9,1,0.0649408990284428,1600,1.0,4.058806189277675e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0649408990284428,0.000770343562180642,1600,1.0,4.814647263629012e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.000770343562180642
0.00674257856735494,6400,1.0,1.0535279011492093e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.00674257856735494,10,0,0.0036350140217109583,6400,1.0,5.679709408923373e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0036350140217109583,0.0033837940500234254,6400,1.0,5.287178203161602e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0033837940500234254
0.0027908502670470625,1600,1.0,1.744281416904414e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0027908502670470625,10,1,0.044175523798912764,1600,1.0,2.7609702374320478e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.044175523798912764,0.0013963024430267978,1600,1.0,8.726890268917487e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0013963024430267978
0.008385803550481796,4800,0.9120089402154994,1.7470424063503742e-06,0.0008090663468465209,1600,0.0879910597845006,5.056664667790756e-07,0.0,0,0.0,0.0,0.009194869897328317,11,0,0.0019438479939708486,4800,0.48814479010193657,4.0496833207726014e-07,0.0020382655784487724,1600,0.5118552098980634,1.2739159865304827e-06,0.0,0,0.0,0.0,0.003982113572419621,0.004085085209226236,4800,0.9471650418385418,8.510594185887991e-07,0.00022787507623434067,1600,0.05283495816145827,1.4242192264646292e-07,0.0,0,0.0,0.0,0.004312960285460576
0.0027836695953737944,1200,0.7572585073928064,2.3197246628114956e-06,0.0008923136629164219,400,0.24274149260719358,2.230784157291055e-06,0.0,0,0.0,0.0,0.0036759832582902163,11,1,0.02411129407119006,1200,0.44751632455881407,2.009274505932505e-05,0.02976672723889351,400,0.5524836754411859,7.441681809723377e-05,0.0,0,0.0,0.0,0.05387802131008357,0.0012993867130717263,1200,0.8422434186143721,1.0828222608931053e-06,0.00024338190269190818,400,0.15775658138562781,6.084547567297704e-07,0.0,0,0.0,0.0,0.0015427686157636344
0.008365316374693066,6400,1.0,1.3070806835457915e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.008365316374693066,12,0,0.009173815953545272,6400,1.0,1.4334087427414489e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.009173815953545272,0.004326052599935792,6400,1.0,6.759457187399676e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.004326052599935792
0.005308106949087232,1600,1.0,3.31756684317952e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.005308106949087232,12,1,0.03986755234654993,1600,1.0,2.4917220216593705e-05,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.03986755234654993,0.0024377306399401277,1600,1.0,1.5235816499625798e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0024377306399401277
0.006156945077236742,6400,1.0,9.62022668318241e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.006156945077236742,13,0,0.004225122043862939,6400,1.0,6.601753193535841e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.004225122043862939,0.003262261117924936,6400,1.0,5.097282996757713e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.003262261117924936
0.0030330641820910387,1600,1.0,1.8956651138068991e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0030330641820910387,13,1,0.008712099923286587,1600,1.0,5.445062452054117e-06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.008712099923286587,0.0014156897141219815,1600,1.0,8.848060713262384e-07,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0014156897141219815
0.003061197232455015,4800,0.7101223669953406,6.377494234281281e-07,0.0012496052077040076,1600,0.28987763300465946,7.810032548150048e-07,0.0,0,0.0,0.0,0.004310802440159023,14,0,0.0037488670786842704,4800,0.8061606223793384,7.810139747258897e-07,0.000901406048797071,1600,0.19383937762066164,5.633787804981694e-07,0.0,0,0.0,0.0,0.004650273127481341,0.001215679440065287,4800,0.7117303730537379,2.5326655001360147e-07,0.0004923823289573193,1600,0.2882696269462621,3.0773895559832454e-07,0.0,0,0.0,0.0,0.0017080617690226063
